version_date,current_value,predict_value,previous_value,refresh_date
2022-04-01,43.1,49,75,2022-04-10 20:36:23
2022-03-04,67.8,40,48.1,2022-04-10 20:36:23
2022-02-04,46.7,15,51,2022-04-10 20:36:23
2022-01-07,19.9,40,24.9,2022-04-10 20:36:23
2021-12-03,21,55,54.6,2022-04-10 20:36:23
2021-11-05,53.1,45,31.2,2022-04-10 20:36:23
2021-10-08,19.4,50,36.6,2022-04-10 20:36:23
2021-09-03,23.5,75,105.3,2022-04-10 20:36:23
2021-08-06,94.3,87,93.8,2022-04-10 20:36:23
2021-07-02,85,70,58.3,2022-04-10 20:36:23
2021-06-04,55.9,65,27.8,2022-04-10 20:36:23
2021-05-07,26.6,97.8,77,2022-04-10 20:36:23
2021-04-02,91.6,64.7,46.8,2022-04-10 20:36:23
2021-03-05,37.9,18.2,16.6,2022-04-10 20:36:23
2021-02-05,4.9,5,-22.7,2022-04-10 20:36:23
2021-01-08,-14,7.1,33.6,2022-04-10 20:36:23
2020-12-04,24.5,46.9,61,2022-04-10 20:36:23
2020-11-06,63.8,60,67.2,2022-04-10 20:36:23
2020-10-02,66.1,85,148.9,2022-04-10 20:36:23
2020-09-04,137.1,140,173.4,2022-04-10 20:36:23
